Date,State,Estimated_Migrant_Workers,GSDP_per_capita_Lakhs,Avg_Wage,Unemployment_Rate_%,Corn_Yield_kg_per_ha,Rice_Yield_kg_per_ha,Wheat_Yield_kg_per_ha,T2M,RH2M,WS2M,PRECTOTCORR,ALLSKY_SFC_SW_DWN,PS,Population
2002-09,Andhra Pradesh,6267,12.64,15358,6.54,2588.84,3104.42,2801.79,29.33,68.95,2.07,1.3,19.66,99.79,77564773
2002-10,Andhra Pradesh,36551,14.13,14837,5.03,2429.62,2433.85,2652.77,26.44,82.48,1.88,8.57,15.92,100.05,77633140
2002-11,Andhra Pradesh,16394,10.23,15017,11.06,2397.19,2679.09,2743.55,23.96,78.83,1.76,1.94,16.99,100.34,77701568
2002-12,Andhra Pradesh,8556,11.65,15173,4.62,2621.22,3754.47,2861.1,23.22,74.55,1.55,0.75,16.44,100.57,77770056
2003-01,Andhra Pradesh,8890,12.07,15870,6.13,2577.27,2970.22,2128.43,23.95,71.66,2.04,0.07,16.7,100.63,77838604
2003-02,Andhra Pradesh,46606,11.12,15275,5.55,2492.05,3024.09,3662.13,27.32,65.01,2.88,0.02,20.05,100.37,77907213
2003-03,Andhra Pradesh,35740,14.03,15664,5.2,2442.29,3120.62,2787.85,29.6,58.96,3.11,0.56,21.77,100.17,77975882
2003-04,Andhra Pradesh,19502,14.48,15215,3.76,2149.4,3457.13,3063.18,32.28,54.91,3.51,0.09,24.49,99.9,78044612
2003-05,Andhra Pradesh,26777,15.91,16018,4.79,2737.31,2636.25,3290.98,35.76,40.85,3.09,0.12,22.95,99.46,78113402
2003-06,Andhra Pradesh,15627,15.81,15736,5.25,2079.44,3234.74,3566.66,32.84,52.92,3.91,1.85,20.15,99.37,78182253
2003-07,Andhra Pradesh,13792,10.98,15825,3.78,2202.84,2773.48,2834.88,28.55,73.82,3.51,5.7,15.15,99.51,78251165
2003-08,Andhra Pradesh,48323,11.9,16137,5.66,2348.96,2379.73,2824,28.42,75.3,3.33,2.77,16.48,99.53,78320137
2003-09,Andhra Pradesh,48021,12.84,15685,5.51,2181.31,3189.44,2478.2,28.07,76.82,2.55,3.93,17.92,99.71,78389170
2003-10,Andhra Pradesh,13433,15.64,15564,4.71,2964.98,2686.7,2687.28,26.8,81.17,1.94,5.72,16.33,99.95,78458264
2003-11,Andhra Pradesh,48001,10.46,16137,4.69,2744.06,2507.65,2879.61,24.57,77.24,1.77,0.39,16.92,100.47,78527419
2003-12,Andhra Pradesh,16016,12.8,15497,5.24,2892.14,2357.01,2864.62,22.98,74.02,2.24,3.23,15.39,100.58,78596635
2004-01,Andhra Pradesh,28897,10.7,16558,4.64,2577.96,3312.73,2367.07,23.3,72.78,2.15,0.38,17.11,100.51,78665912
2004-02,Andhra Pradesh,7612,10.28,16411,4.77,2103.86,3208.78,2903.94,26.09,60.87,2.2,0.03,20.87,100.42,78735250
2004-03,Andhra Pradesh,28483,13.03,15971,5.01,2575.15,3138.58,2561.99,29.83,56.16,2.84,0.12,23.6,100.11,78804649
2004-04,Andhra Pradesh,22159,10.95,16006,5.78,2569.68,3117.23,2549.98,32.57,55.52,3.3,0.81,23.47,99.84,78874109
2004-05,Andhra Pradesh,49974,10.93,16124,4.86,3059.73,3189.53,2383.04,30.68,67.13,3.23,2.58,21.14,99.57,78943630
2004-06,Andhra Pradesh,45994,16.78,16438,6.69,2696.97,2610.13,3075.48,30.6,62.04,4.03,1.75,20.02,99.56,79013213
2004-07,Andhra Pradesh,19541,13.74,16380,5.34,2847.58,2671.73,3137.18,28.83,70.74,3.4,3.76,17.04,99.46,79082857
2004-08,Andhra Pradesh,40920,11.67,16123,5.87,2623.83,3328.82,3463.88,29.7,65.42,4.03,1.76,19.07,99.51,79152562
2004-09,Andhra Pradesh,31531,10.84,15868,2.5,2426.38,2698.51,2488.67,28.31,76.67,1.86,4.77,17.82,99.81,79222329
2004-10,Andhra Pradesh,6585,13.29,15985,8.22,2255.26,2969.16,2919.4,26.44,81.3,2.09,4.9,15.63,100.22,79292157
2004-11,Andhra Pradesh,8943,14.23,15941,4.02,2583.01,3330.87,2804.55,24.1,77.28,1.95,1.46,16.7,100.5,79362047
2004-12,Andhra Pradesh,28939,15.26,16576,5,2936.06,2894.14,3752.06,23.51,70.24,1.84,0,17.16,100.54,79431998
2005-01,Andhra Pradesh,24457,14.29,16497,7.83,2687.7,2657.14,2425.19,25.43,67.1,2.33,0.32,16.28,100.45,79502011
2005-02,Andhra Pradesh,6021,15.63,16500,5.42,2644.74,2910.61,3049.9,27.6,58.12,2.5,0.07,20.93,100.42,79572086
2005-03,Andhra Pradesh,16653,11.78,16625,7.18,2641.97,2970.87,2503.62,29.92,58.82,2.91,0.11,22.52,100.19,79642223
2005-04,Andhra Pradesh,48573,11.82,17231,6.65,2045.55,2821.39,3099.74,31.92,56.76,3.07,0.57,22.52,100.03,79712421
2005-05,Andhra Pradesh,18417,9.33,17262,5.2,2564.23,2501.7,2860.61,33.22,56.42,2.95,1.9,22.62,99.6,79782681
2005-06,Andhra Pradesh,45757,9.97,16788,7.64,2615.6,2646.46,2853.8,31.86,58.93,3.92,1.36,19.5,99.36,79853003
2005-07,Andhra Pradesh,14692,14.76,16939,7.87,2517.46,2542.81,2925.23,29.15,71.14,3.92,5.2,16.54,99.47,79923387
2005-08,Andhra Pradesh,11873,14.64,17252,6.1,2668.24,3433.22,3168.83,28.22,76.44,3.14,2.83,18,99.62,79993833
2005-09,Andhra Pradesh,10675,10.11,16450,8.81,2086.7,2624.87,2980.26,27.34,83.22,2.5,7.52,16.83,99.65,80064341
2005-10,Andhra Pradesh,5161,11.04,16443,6.59,2654.14,3206.02,4148.46,26.39,87.54,1.78,12.03,13.08,99.96,80134911
2005-11,Andhra Pradesh,42065,15.78,16871,6.09,2671.27,3454.23,3133.9,22.1,84.67,2.11,2.09,16.9,100.39,80205544
2005-12,Andhra Pradesh,31557,16.31,16308,6.75,2695.42,2873.89,3065.64,21.55,81.62,1.91,0.53,15.04,100.42,80276239
2006-01,Andhra Pradesh,38763,11.74,17518,6.78,2268.15,2905.27,2630.12,22.57,72.34,1.57,0.01,18.02,100.53,80346996
2006-02,Andhra Pradesh,37606,16.77,16979,6.45,2524.56,3925.86,2146.46,25.61,60.06,1.82,0,21.88,100.41,80417816
2006-03,Andhra Pradesh,16534,16.77,17487,6.34,2705.88,2354.91,2634.82,29.42,59.94,2.61,0.81,21.83,100.1,80488698
2006-04,Andhra Pradesh,34127,9.52,17369,7.27,2826.69,3025.71,2422.79,32.05,55.85,2.79,0.96,23.33,99.81,80559642
2006-05,Andhra Pradesh,45397,17.21,17012,8.8,2285.41,3271.84,2544.37,32.48,59.95,3.12,1.28,22.47,99.57,80630649
2006-06,Andhra Pradesh,30851,14.83,17540,6.71,2564.94,3018.23,2571.94,30.32,66.41,2.89,3.42,18.95,99.51,80701719
2006-07,Andhra Pradesh,6016,10.89,17439,4.87,3143.18,3253.57,2091.2,30.17,63.54,4.75,3.27,17.26,99.45,80772851
2006-08,Andhra Pradesh,29253,15.61,17755,4.3,2555.94,2735.29,3098.35,28.28,73.22,3.61,2.67,18.49,99.55,80844046
2006-09,Andhra Pradesh,29276,15.59,17054,7.23,2262.24,2954.11,2976.75,27.87,78.88,2.37,5.05,17.82,99.72,80915304
2006-10,Andhra Pradesh,28247,10.21,17742,8.85,2759.73,2519.88,2682.92,27.69,75.05,2.05,13.02,17.48,100.21,80986625
2006-11,Andhra Pradesh,29300,14.7,16881,7.32,2357.52,2738.67,3417.91,24.17,86.67,1.85,5.17,15.22,100.39,81058008
2006-12,Andhra Pradesh,13529,14.65,17085,5.64,2621.49,2495.65,3121.25,22.45,80.39,1.64,0.14,15.27,100.63,81129454
2007-01,Andhra Pradesh,22262,12.65,18028,5.6,3136.65,3412.99,2268.22,23.16,73.56,1.67,0,17.26,100.66,81200963
2007-02,Andhra Pradesh,14268,11.33,18248,10.08,2354.73,3506.76,2552.32,25.7,65.62,2.41,0.16,20.08,100.39,81272535
2007-03,Andhra Pradesh,26271,13.91,17935,6.06,2633.15,3309.85,2475.57,29.37,58.54,2.93,0,22.58,100.15,81344170
2007-04,Andhra Pradesh,17185,11.18,17639,5.79,2482.14,1703.49,2441.46,31.67,57.7,3.29,0.33,23.86,99.94,81415869
2007-05,Andhra Pradesh,26243,13.66,17465,5.66,2424.23,2500.89,3371.34,34.85,45.39,3.43,0.55,23.2,99.49,81487631
2007-06,Andhra Pradesh,44099,9.81,17699,7.07,2070.96,2823.98,2845.76,30.01,69.91,3.49,7.74,17.41,99.34,81559456
2007-07,Andhra Pradesh,13571,12.48,17721,5.32,2932.38,2425.66,3207.11,28.32,77.15,3.34,6.24,18.63,99.48,81631344
2007-08,Andhra Pradesh,44976,12.94,18402,7.17,2503.07,2607.4,2961.74,27.46,81.58,3.09,5.09,17.55,99.53,81703296
2007-09,Andhra Pradesh,43044,11.95,17742,6.32,2559.72,2759.91,2824.43,26.93,85.85,2.65,5.01,16.68,99.55,81775311
2007-10,Andhra Pradesh,45774,17.61,17989,4.13,2384.41,3045.41,3031.75,25.23,82.68,2.04,6.37,15.25,99.98,81847390
2007-11,Andhra Pradesh,7568,17.56,18105,6.35,2975.81,2504.87,3546.56,23.15,79.19,1.71,0.63,18.05,100.35,81919532
2007-12,Andhra Pradesh,7027,18.07,18381,4.79,1914.37,2939.29,3005.91,23.3,75.43,2.02,0.38,14.95,100.45,81991738
2008-01,Andhra Pradesh,7695,12.13,18469,6.54,2584.3,2750.92,2727.16,23.65,70.16,1.97,0,17.89,100.41,82064007
2008-02,Andhra Pradesh,10258,15.97,18790,6.84,2352.1,2764.25,3097.36,26.32,68.4,2.3,1.31,17.84,100.32,82136340
2008-03,Andhra Pradesh,27002,16.07,18018,7.36,2607.1,2722.84,3114.86,28.16,63.15,2.47,3.26,20.97,100.08,82208737
2008-04,Andhra Pradesh,44504,16.95,18900,5.09,2592.19,3325.14,3020.37,31.1,58.15,2.5,0.04,24.33,99.82,82281198
2008-05,Andhra Pradesh,38159,15.23,18807,6.77,2251.3,2775.93,3061.55,35.55,38.11,3.33,0.26,23.36,99.43,82353722
2008-06,Andhra Pradesh,18986,16.85,18300,11.78,2683.11,2991.64,2841.06,31.31,55.76,4.12,1.96,18.18,99.47,82426310
2008-07,Andhra Pradesh,17666,10.54,18379,6.1,2883.3,2763.37,2991.48,29.97,65.09,3.09,4.43,18.01,99.42,82498962
2008-08,Andhra Pradesh,43660,13.73,18938,5.39,2439.34,2912.93,3184.57,27.51,80.81,2.92,7.03,17,99.54,82571678
2008-09,Andhra Pradesh,8561,10.23,18644,6.22,2747.62,3325.4,3256.92,27.34,81.06,2.18,4.41,18.39,99.74,82644458
2008-10,Andhra Pradesh,31854,12.09,18661,6.21,2506.3,3272.78,2691.41,26.23,80.06,1.87,3.18,18.01,100.1,82717303
2008-11,Andhra Pradesh,43952,17.06,18033,3.01,2597.25,2947.94,2833.95,24.63,78.71,2.32,5.46,14.35,100.25,82790212
2008-12,Andhra Pradesh,27662,17.11,18551,6.64,2678.55,2672.71,3532.34,23.49,78.72,1.47,0.01,16.16,100.48,82863185
2009-01,Andhra Pradesh,13392,12.08,18544,7.82,2198.19,2514.32,3205.34,23.84,71.09,1.92,0,17.08,100.57,82936222
2009-02,Andhra Pradesh,35535,11.89,18889,5.77,2737.5,3249.65,3019.92,27.41,59.23,2.24,0,20.74,100.27,83009324
2009-03,Andhra Pradesh,18067,14.97,19362,5.84,2496.33,2641.1,2826.53,30.11,53.07,2.56,0.05,21.99,100.08,83082490
2009-04,Andhra Pradesh,28599,14.01,18597,5.27,2296.85,3390.05,2748.53,32.44,53.22,3.01,0.07,23.98,99.79,83155721
2009-05,Andhra Pradesh,40222,10.86,19280,8.67,2252.35,2871.45,2944.53,32.92,57.68,2.84,2.9,22.92,99.44,83229016
2009-06,Andhra Pradesh,16837,10.68,19173,4.98,2330.88,2671.11,2885.29,30.49,64.21,3.97,2.63,21.42,99.46,83302376
2009-07,Andhra Pradesh,19039,11.55,19341,5.52,2573.49,2797.22,2635.14,30.49,60.16,4.97,1.62,17.12,99.43,83375801
2009-08,Andhra Pradesh,35818,11.79,18776,5.69,2569.61,2420.77,2307.39,29.64,68.04,2.98,6.12,18.54,99.58,83449290
2009-09,Andhra Pradesh,24115,12.65,18811,9.2,2284.47,2914.62,2908.82,28,80.51,2.38,5.39,18.18,99.65,83522844
2009-10,Andhra Pradesh,15965,14.03,19400,6.34,2942.61,3343.06,2744.02,27,73.3,1.75,0.9,18.85,100.04,83596463
2009-11,Andhra Pradesh,29538,13.89,18615,4.22,2494.3,2598.99,2793.52,25.12,83.42,1.98,5.79,14.02,100.29,83670147
2009-12,Andhra Pradesh,47530,11.23,18824,6.34,2413.4,3129.09,2510.47,23.45,77.92,1.9,0.77,13.83,100.53,83743896
2010-01,Andhra Pradesh,10056,11.46,19168,5.58,2655.8,3613.1,2761.93,24.3,71.74,1.85,0.15,15.63,100.61,83817710
2010-02,Andhra Pradesh,37482,19.31,19552,5.09,2620.51,3276.06,2659.57,26.64,64,2.44,0,19.73,100.41,83891589
2010-03,Andhra Pradesh,13110,14.71,19317,7.05,2567.23,3005.04,2834.19,30.43,55.48,2.92,0,21.52,100.18,83965533
2010-04,Andhra Pradesh,18773,13.55,19353,6.9,2268.1,3009.8,2974.3,33.08,56.05,3.66,0.39,23.87,99.91,84039542
2010-05,Andhra Pradesh,32266,14.35,19122,5.51,2935.34,3383.71,3553.61,33.42,56.37,3.76,5.35,21.72,99.43,84113616
2010-06,Andhra Pradesh,22412,10.54,19758,6.79,2269.8,3348.93,2864.17,30.42,67.42,3.21,3.16,19.24,99.49,84187756
2010-07,Andhra Pradesh,38270,14.98,19868,8.9,3156.94,2676.68,2506.1,28.03,77.37,3.62,7.08,15.37,99.51,84261961
2010-08,Andhra Pradesh,11910,16,19435,6.62,2320.18,2150.44,2615.99,28.1,79.82,2.47,4.95,17.23,99.53,84336231
2010-09,Andhra Pradesh,30446,16.25,19596,6.52,2272.26,3060.16,2919.61,27.2,84.09,2.17,7.33,16.72,99.72,84410567
2010-10,Andhra Pradesh,5206,17.69,20007,7.39,3062.85,3380.17,2598.08,26.53,84.8,1.86,6.29,15.15,99.8,84484968
2010-11,Andhra Pradesh,26518,13.93,19479,6.34,2230.48,3196.77,2337.92,25.25,88.06,2.15,4.4,14.29,100.17,84559435
2010-12,Andhra Pradesh,27361,17.87,19367,5.59,3049.44,3471.78,2635.79,21.73,82.59,2.11,1.82,14.42,100.2,84633968
2011-01,Andhra Pradesh,28419,14.23,20076,4.28,1986.06,3541.55,2759.91,21.99,76.44,1.82,0,18.14,100.41,84708566
2011-02,Andhra Pradesh,46523,13.19,19671,6.89,2871.34,2362.23,2590.22,25.23,69.15,2.2,0.97,19.24,100.3,84783230
2011-03,Andhra Pradesh,27403,11.58,20557,6.17,2501.57,3018.79,2642.48,28.99,57.06,2.53,0,23.7,100.11,84857960
2011-04,Andhra Pradesh,23141,13.77,19749,5.35,2686.85,2572.95,2750.17,30.82,60.1,3.22,0.74,23.47,99.95,84932756
2011-05,Andhra Pradesh,19820,13.61,20581,4.31,2536.09,3205.78,3049.07,34.12,50.15,2.94,0.9,22.75,99.55,85007618
2011-06,Andhra Pradesh,45342,13.07,20562,7.92,2162.61,2386.35,3247.19,31.7,54.73,4.36,1.71,20.21,99.4,85082546
2011-07,Andhra Pradesh,11374,11.74,20160,6.79,2599.69,2700.61,3342.9,29.79,64.87,3.9,3.98,17.74,99.39,85157540
2011-08,Andhra Pradesh,6678,11,20388,5.72,2534.7,3471.72,2823.63,28.76,72.51,3.09,4.78,17.18,99.49,85232600
2011-09,Andhra Pradesh,38827,18.12,20420,2.67,3118.22,3702.14,2712.86,29.01,71.53,2.36,1.1,18.82,99.65,85307726
2011-10,Andhra Pradesh,21198,15.93,20398,8.08,2791.47,3258.15,3279.02,28.26,71.52,1.71,2.78,16.37,100.04,85382918
2011-11,Andhra Pradesh,14914,19.86,20207,7.92,2210.52,3274.42,3170.45,25.85,69.94,2.26,0.97,16.6,100.32,85458176
2011-12,Andhra Pradesh,32890,13.81,19849,5.11,1972.38,2526.7,2086.27,25.44,65.23,2.25,0.43,14.93,100.35,85533501
2012-01,Andhra Pradesh,27299,16.23,20999,8.33,2419.18,3287.02,3325.82,24.13,69.52,2.27,1.19,17.44,100.42,85608892
2012-02,Andhra Pradesh,48585,18.06,21092,5.34,2522.23,3651.45,2316.96,26.88,55.96,2.21,0,20.28,100.24,85684350
2012-03,Andhra Pradesh,48689,14.48,21100,7.96,1988.99,2977.78,2934.42,30.29,56.31,2.55,0.09,22.92,100.06,85759874
2012-04,Andhra Pradesh,47557,13.93,20918,6.03,2490.19,2173.02,2768.81,31.88,56.45,3.34,0.33,23.36,99.87,85835465
2012-05,Andhra Pradesh,49020,11.83,20831,5.59,2108.66,3267.87,2928.31,34.5,48.92,2.91,1.36,22.15,99.43,85911122
2012-06,Andhra Pradesh,7693,19.92,20603,5.08,2218.04,2794.45,2429.28,32.41,51.59,4.23,2.41,19.83,99.39,85986846
2012-07,Andhra Pradesh,34467,15.47,20725,4.77,2481.2,3382.06,2455,29.42,67.61,3.78,3.94,16.32,99.4,86062637
2012-08,Andhra Pradesh,34723,13.67,20244,9.14,2651.21,2787.9,2522.49,28.78,70.69,3.45,3.81,18.52,99.57,86138495
2012-09,Andhra Pradesh,8627,16.15,20688,7.16,2467.89,2585.9,2606.22,27.9,77.25,2.29,5.33,17.72,99.75,86214419
2012-10,Andhra Pradesh,30939,18.4,20328,7,2140.64,3785.89,2812.34,26.04,80.17,2.02,6.03,17.38,100.15,86290410
2012-11,Andhra Pradesh,47941,19.74,20405,6.11,2290.08,3085.59,2760.69,23.69,82.53,1.87,4.3,16,100.25,86366468
2012-12,Andhra Pradesh,26834,15.08,20434,4.98,2433.71,3245.67,3065.13,23.36,77.52,1.99,0.18,15.06,100.42,86442593
2013-01,Andhra Pradesh,23047,16.43,21622,6.92,2340.85,2769.67,2703.73,24.69,69.36,1.95,0,16.67,100.54,86518785
2013-02,Andhra Pradesh,31105,12.1,21298,8.04,1809.42,2393.92,3278.41,26.01,63.6,2.2,1.9,19.11,100.42,86595045
2013-03,Andhra Pradesh,15230,15.27,20947,5.29,2993.49,2900.39,3001.79,29.02,57.8,2.82,0,22.28,100.22,86671372
2013-04,Andhra Pradesh,20707,11.95,21118,6.35,2593.38,4231.55,3191.85,31.6,58.51,3.35,1.3,23.08,99.88,86747766
2013-05,Andhra Pradesh,26976,16.78,21144,7.73,2461.62,2617.78,2237.74,34.33,49.29,3.66,0.5,22.11,99.46,86824227
2013-06,Andhra Pradesh,49262,20.34,20996,5.28,2561.04,2697.46,2302.21,30.12,64.18,3.95,3.31,18.52,99.36,86900756
2013-07,Andhra Pradesh,28776,16.88,21583,4.92,2306.03,2567.38,3390.5,28.81,68.73,4.53,4.23,13.52,99.36,86977352
2013-08,Andhra Pradesh,35080,18.68,20961,5.68,2764.49,2996.81,3317.98,28.02,76.37,3.04,6.82,17.19,99.56,87054016
2013-09,Andhra Pradesh,6306,17.98,21493,5.55,2523.21,2655.49,3333.09,27.24,82.53,2.11,4.33,18.07,99.69,87130747
2013-10,Andhra Pradesh,11776,15.68,20837,5.99,2661.67,2585.1,2733.38,26.53,84.97,2.07,10.08,14.93,99.91,87207546
2013-11,Andhra Pradesh,32251,18.33,21235,6.48,2237.31,2446.88,3124.16,23.92,84.29,2.02,2.01,15.3,100.35,87284413
2013-12,Andhra Pradesh,14474,18.38,21752,4.76,3072.82,2440.57,2997.04,22.01,75.96,2.03,0,15.7,100.47,87361347
2014-01,Andhra Pradesh,45294,13.72,21844,3.83,2304.81,2805.15,2592.66,23.73,72.91,1.99,0,15.55,100.66,87438349
2014-02,Andhra Pradesh,26959,19.99,22273,4.73,2240.8,3019.41,2509.17,25.54,63.32,2.43,0.14,18.95,100.35,87515419
2014-03,Andhra Pradesh,10530,15.7,21397,6.34,2581.14,2979.9,2716.37,29.31,53.01,2.61,0.14,20.63,100.32,87592557
2014-04,Andhra Pradesh,34320,12.09,21566,6.02,2227.73,2769.29,3064.39,32.42,51.29,2.99,0.03,22.64,100.01,87669763
2014-05,Andhra Pradesh,8748,18.27,21780,9.41,2650.28,2608.98,2834.77,32.8,57,3.04,1.38,22.39,99.7,87747037
2014-06,Andhra Pradesh,36968,18.28,21754,6.61,2725.42,2332.24,2990.18,33.92,47.65,4.14,0.54,20.33,99.37,87824379
2014-07,Andhra Pradesh,37562,21.26,21905,7.31,2301.21,3228.24,2532.86,30.55,62.09,4.53,4.07,15.81,99.45,87901789
2014-08,Andhra Pradesh,18545,11.81,21351,6.28,1958.54,2348.98,2816.83,28.95,71.31,3.05,3.63,18.91,99.62,87979268
2014-09,Andhra Pradesh,5663,20.89,22123,5.83,2577.92,2638.27,3023.51,27.74,78.09,2.58,4.69,17.31,99.8,88056815
2014-10,Andhra Pradesh,39766,17.52,21347,7.46,2001.54,2973.57,2376.14,26.93,76.94,1.91,4.79,17.2,100.17,88134430
2014-11,Andhra Pradesh,12994,13.05,22015,2.81,2304.45,3018.96,2498.86,24.12,77.72,1.73,2.75,15.05,100.38,88212114
2014-12,Andhra Pradesh,33021,17.16,22071,5.21,2384.63,3402.52,2598.09,23.21,74.02,1.85,1.04,14.24,100.5,88289866
2015-01,Andhra Pradesh,35303,15.26,22639,3.13,2750.71,2548.12,2985.43,23.41,66,1.8,0.05,16.79,100.6,88367687
2015-02,Andhra Pradesh,8304,19.86,22631,6.54,2932.47,2011.34,2521.09,25.74,60.75,2.34,0,20.52,100.5,88445576
2015-03,Andhra Pradesh,44353,14.35,22808,4.02,2673.12,2918.78,2929.9,29.25,57.26,2.61,0.04,21.23,100.37,88523534
2015-04,Andhra Pradesh,22675,21.07,22141,8.75,2318.8,3034.64,2745.51,31.19,57.41,3.27,0.78,22.88,100.04,88601561
2015-05,Andhra Pradesh,49417,17.2,21904,5.89,2850.33,3101.77,2918.16,34.16,49.25,3.65,0.21,22.66,99.67,88679656
2015-06,Andhra Pradesh,28938,19.83,22123,5.58,2376.44,2804.96,2648.6,29.85,66.95,3.82,4.89,16.11,99.53,88757820
2015-07,Andhra Pradesh,28664,21.6,22678,3.43,2618.34,2831.61,2901.42,30.87,61.14,3.69,2.15,20.49,99.53,88836053
2015-08,Andhra Pradesh,6636,21.44,22694,8.03,3122.62,3348.45,2685.89,29.22,71.45,2.89,4.45,17.97,99.67,88914355
2015-09,Andhra Pradesh,25080,17.38,22828,2.5,2860.36,2836.77,2086.66,28.49,75.33,1.99,3.32,17.47,99.85,88992726
2015-10,Andhra Pradesh,32728,14.38,22722,4.65,2197.57,2251.68,2676.97,28.39,70.51,1.76,1.64,18.18,100.22,89071166
2015-11,Andhra Pradesh,31736,20.38,22876,8.46,2505.53,3670.57,2914.42,25.49,78.5,2.62,3.94,12.86,100.35,89149675
